Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,12462,27,12786,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (100 GB), Instance type (r6g.2xlarge)"
My Estimate,US East (N. Virginia),,Amazon EC2,37908,60,38628,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (100 GB), Instance type (m6g.8xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2157.2,25886.4,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.m2.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,282.9,3394.8,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.m1.large), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,717.23,8606.76,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,20.85,250.2,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (100 TB per month), DT Outbound: Amazon CloudFront (100 TB per month)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
