Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Server Instances,Amazon EC2,6228,27,6552,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (100 GB), Instance type (r6g.xlarge)"
My Estimate,US East (N. Virginia),App Server Instances,Amazon EC2,18954,60,19674,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (100 GB), Instance type (m6g.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2157.2,25886.4,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.m2.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,282.9,3394.8,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.m1.large), Deployment option (Single-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,717.23,8606.76,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,20.85,250.2,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (100 TB per month), DT Outbound: Amazon CloudFront (100 TB per month)"
,,,,,,,,
Reduced the size of the web and app servers to reduce the overall EC2 instance costs to fit within the budget,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
